data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp
370085,434,LBY798,798,2012-02-03,2012,1,Riots/Protests,"Protesters (Libya)",,6,,,0,60,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,Tripoli,32.8925,13.18,1,"Daily Star",Regional,"Libyans opposed the Assad regime in Syria begin a Friday ritual to hold a protest for his ousting.",0,1517243930
370086,434,LBY797,797,2012-02-01,2012,1,"Battle-No change of territory","Misratah Communal Militia (Libya)",,4,"Zintan Ethnic Militia (Libya)",,4,44,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,Tripoli,32.8925,13.18,1,"Reuters News",International,"Two militias once allied to oust Gadaffi exchange gunfire for unknown reasons. No report of causalities.",0,1517243930
370087,434,LBY796,796,2012-01-28,2012,1,Riots/Protests,"Protesters (Libya)",,6,,,0,60,"Northern Africa",Libya,Tarhunah-Masallatah,Misratah,,"Bani Walid",31.7566,13.9942,1,"BBC Monitoring Middle East",National,"Former fighters from Bani Walid stage sit-in in front of a government headquarters to demand the defense ministers dismissal.",0,1517243930
370088,434,LBY794,794,2012-01-27,2012,3,"Violence against civilians","Unidentified Armed Group (Libya)",,3,"Civilians (Libya)",,7,37,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,Tripoli,32.8925,13.18,1,"Asian News International",International,"Reports of Libyan detainees loyal to Gaddafi dying after being tortured by former anti-Gaddafi militias. Precise number unknown.",0,1517243930
370089,434,LBY795,795,2012-01-27,2012,1,Riots/Protests,"Protesters (Libya)",,6,,,0,60,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,Tripoli,32.8925,13.18,1,"Daily Star",Regional,"Anti-Assad demonstrators gather for their weekly protest.",0,1517243930
370090,434,LBY791,791,2012-01-24,2012,1,"Battle-No change of territory","Unidentified Armed Group (Libya)",,3,"Military Forces of Libya (2011-2012)",,1,13,"Northern Africa",Libya,"Al Hizam Al Akhdar",Benghazi,,Benghazi,32.1177,20.1293,1,"The Advertiser",International,"Pro-Gaddafi forces launch attacks on new government forces in Bengazhi and Tripoli in an attempt to retake the cities.",0,1517243930
370091,434,LBY792,792,2012-01-24,2012,1,"Battle-No change of territory","Unidentified Armed Group (Libya)",,3,"Military Forces of Libya (2011-2012)",,1,13,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,Tripoli,32.8925,13.18,1,"The Advertiser",International,"Pro-Gaddafi forces launch attacks on new government forces in Bengazhi and Tripoli in an attempt to retake the cities.",0,1517243930
370092,434,LBY793,793,2012-01-24,2012,1,"Battle-Non-state actor overtakes territory","Warfallah Ethnic Militia (Libya)",,4,"Military Forces of Libya (2011-2012)",,1,14,"Northern Africa",Libya,Tarhunah-Masallatah,Misratah,,"Bani Walid",31.7566,13.9942,1,"The Advertiser",International,"Clashes continues between fighters loyal to Gaddafi and a militia.",0,1517243930
370093,434,LBY790,790,2012-01-23,2012,1,"Battle-No change of territory","Warfallah Ethnic Militia (Libya)",,4,"Military Forces of Libya (2011-2012)",,1,14,"Northern Africa",Libya,Tarhunah-Masallatah,Misratah,,"Bani Walid",31.7566,13.9942,1,RTE.ie,International,"Clashes between a local militia and an ethnic group loyal to Gaddafi results in four anti-Gaddafi dead and twenty wounded. The pro-Gaddafi group are eventually able to take the town.",4,1517243930
370094,434,LBY788,788,2012-01-22,2012,1,"Battle-No change of territory","Unidentified Armed Group (Libya)",,3,"Unidentified Armed Group (Libya)",,3,33,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,Fashloum,32.8867,13.2046,1,"Agence France Presse",International,"Two unnamed former militia groups begin an overnight gun battle when one member tries to arrest another when it is believed he was a Gaddafi supporter.",0,1517243930
370095,434,LBY789,789,2012-01-22,2012,1,Riots/Protests,"Protesters (Libya)",,6,,,0,60,"Northern Africa",Libya,"Al Hizam Al Akhdar",Benghazi,,Benghazi,32.1177,20.1293,1,"Agence France Presse",International,"About 4,000 Libyan students staged a protest at a university against the deputy head of the National Transitional Council, Abdel Hafiz Ghoga, who they believe is responsible for the recent arrest to students. The minister resigned later in the day.",0,1517243930
370096,434,LBY787,787,2012-01-21,2012,1,"Violence against civilians","Rioters (Libya)",,5,"Civilians (Libya)",,7,57,"Northern Africa",Libya,"Al Hizam Al Akhdar",Benghazi,,Benghazi,32.1177,20.1293,1,"Agence France Presse",International,"Protesters gather outside the National Transitional Council office calling for an end of Gaddafi-era government officials to remain in power. Unknown men throw a grenade at the building, but do not cause any causalities.",0,1517243930
370097,434,LBY786,786,2012-01-20,2012,1,Riots/Protests,"Protesters (Libya)",,6,,,0,60,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,Tripoli,32.8925,13.18,1,"Daily Star",Regional,"Anti-Assad demonstrators gather for their weekly protest.",0,1517243930
370098,434,LBY784,784,2012-01-19,2012,1,Riots/Protests,"Rioters (Libya)",,5,,,0,50,"Northern Africa",Libya,"Al Hizam Al Akhdar",Benghazi,,Benghazi,32.1177,20.1293,1,"Agence France Presse",International,"Students at the University of Ghar Yunis mob and attack an interim government minister who they believe did not do enough to distance himself from Gaddafi during the old regime. Several arrested.",0,1517243930
370099,434,LBY785,785,2012-01-19,2012,1,"Violence against civilians","Zintan Ethnic Militia (Libya)",,4,"Civilians (Libya)",,7,47,"Northern Africa",Libya,Yafran-Jadu,"Al Jabal al Gharbi",,Zintan,31.9223,12.252,1,"Reuters News",International,"A Libyan diplomat who served as ambassador to France for Muammar Gaddafi died from torture within a day of being detained by a militia from Zintan.",1,1517243930
370100,434,LBY783,783,2012-01-15,2012,1,"Battle-No change of territory","Fighters of The Martyrs Brigade",,3,"Assabie Communal Militia (Libya)",,4,34,"Northern Africa",Libya,Gharyan,"Al Jabal al Gharbi",,Gharyan,32.1722,13.0203,1,"Reuters News",International,"Rival militias continue to clash. The two sides agree to a prisoner swap as a way to broker peace.",0,1517243930
370101,434,LBY782,782,2012-01-14,2012,1,"Battle-No change of territory","Fighters of The Martyrs Brigade",,3,"Assabie Communal Militia (Libya)",,4,34,"Northern Africa",Libya,Gharyan,"Al Jabal al Gharbi",,Gharyan,32.1722,13.0203,1,"Reuters News",International,"Rival militias continue to clash. Two fighters killed on Saturday, 39 reported wounded.",2,1517243930
370102,434,LBY781,781,2012-01-13,2012,1,"Remote violence","Fighters of The Martyrs Brigade",,3,"Assabie Communal Militia (Libya)",,4,34,"Northern Africa",Libya,Gharyan,"Al Jabal al Gharbi",,Gharyan,32.1722,13.0203,1,"Reuters News",International,"Fighters from neighboring Libyan towns blasted each other with artillery and rockets. The Gharyan fighters accuse the Assabia fighters of supporting Gaddafi.",0,1517243930
370103,434,LBY780,780,2012-01-05,2012,1,Riots/Protests,"Protesters (Libya)","Military Forces of Libya (2011-2012)",6,,,0,60,"Northern Africa",Libya,"Al Hizam Al Akhdar",Benghazi,,Benghazi,32.1177,20.1293,1,"The Washington Post",International,"Hundreds of Libyan soldiers protested, demanding payment of overdue wages and complaining that militia groups had taken over their bases and were not interested in joining a new national army.",0,1517243930
370104,434,LBY779,779,2012-01-03,2012,1,"Battle-No change of territory","Misratah Communal Militia (Libya)","Tripoli Communal Militia (Libya)",4,"Militia (Pro-Government)",,3,34,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,Tripoli,32.8925,13.18,1,"Agence France Presse",International,"Armed clashes among fighters erupt in the center of the city. The fighting broke out at a building used as intelligence headquarters by the former regime when loyalist forces attempted to overtake the building. At least six killed, others wounded.",6,1517243930
370105,434,LBY778,778,2012-01-01,2012,1,"Strategic development","Revolutionist Council Militia",,3,"Militia (Pro-Government)",,3,33,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,Tripoli,32.8925,13.18,1,"The Guardian",International,"A militia captures a group loyal to Gaddafi who they believe plotted to blow up the citys power grid in December 31st.",0,1517243930
370106,434,LBY777,777,2011-12-16,2011,1,"Violence against civilians","Unidentified Armed Group (Libya)",,3,"Civilians (Libya)",,7,37,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,Tripoli,32.8925,13.18,1,"Agence France Presse",International,"A prominent Libyan military commander charged that a powerful ex-rebel group shot and wounded one of his sons, in the second such incident targeting his family.",0,1517243930
370107,434,LBY774,774,2011-12-13,2011,1,Riots/Protests,"Protesters (Libya)",,6,,,0,60,"Northern Africa",Libya,"Al Hizam Al Akhdar",Benghazi,,Benghazi,32.1177,20.1293,1,"The Guardian",International,"Protesters gather in Benghazi and Tripoli to demand greater transparency from the interim government.",0,1517243930
370108,434,LBY775,775,2011-12-13,2011,1,Riots/Protests,"Protesters (Libya)",,6,,,0,60,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,Tripoli,32.8925,13.18,1,"The Guardian",International,"Protesters gather in Benghazi and Tripoli to demand greater transparency from the interim government.",0,1517243930
370109,434,LBY776,776,2011-12-13,2011,1,"Battle-No change of territory","Zintan Ethnic Militia (Libya)",,4,"Military Forces of Libya (2011-2012)",,1,14,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,"Tripoli International Airport",32.6635,13.159,1,"The Warrnambool Standard",International,"Zintan militia members and military forces exchange gunfire near the airport leaving one person dead.",1,1517243930
370110,434,LBY772,772,2011-12-12,2011,1,Riots/Protests,"Protesters (Libya)",,6,,,0,60,"Northern Africa",Libya,"Al Hizam Al Akhdar",Benghazi,,Benghazi,32.1177,20.1293,1,"Agence France Presse",International,"Protest against the interim government. Hundreds of men and women chanted slogans against Mustafa Abdel Jalil in the eastern citys Shajara Square, complaining of a lack of transparency and his willingness to forgive former Gaddafi fighters.",0,1517243930
370111,434,LBY773,773,2011-12-12,2011,1,"Battle-No change of territory","Zintan Ethnic Militia (Libya)",,4,"El-Mashashia Ethnic Militia (Libya)",,4,44,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,Tripoli,32.8925,13.18,1,RTE.ie,International,"Four killed when former rebel brigades clash in south-west Tripoli. The conflict was rooted in an old Tribal rivalry.",4,1517243930
370112,434,LBY771,771,2011-12-11,2011,1,"Battle-No change of territory","Zintan Ethnic Militia (Libya)",,4,"Military Forces of Libya (2011-2012)",,1,14,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,"Tripoli International Airport",32.6635,13.159,1,"The Warrnambool Standard",International,"Members of the former rebel Zintan Communal Militia opened fire on the convoy of General Khalifa Hifter, the commander of the national army.",0,1517243930
370113,434,LBY770,770,2011-12-10,2011,1,"Battle-No change of territory","Zintan Ethnic Militia (Libya)",,4,"Tripoli Communal Militia (Libya)",,4,44,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,"Tripoli International Airport",32.6635,13.159,1,"Agence France Presse",International,"Former rebel brigades clash at an airport, two hurt. They were battling for control of the airport.",0,1517243930
370114,434,LBY769,769,2011-12-05,2011,1,"Strategic development","Police Forces of Libya (2011-2012)",,1,"Civilians (Libya)",,7,17,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,Tripoli,32.8925,13.18,1,"Agence France Presse",International,"Arrest:Libyan forces arrest 400 in Tripoli harbor who were attempting to emigrate to Italy by boat.",0,1517243930
370115,434,LBY768,768,2011-12-02,2011,1,"Battle-No change of territory","Janzur Communal Militia (Libya)",,4,"Zintan Ethnic Militia (Libya)",,4,44,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba","Al Jifarah",,Janzur,32.8187,13.0173,1,Reuters,International,"One local official was killed and a militia base reduced to ruins in a clash between rival armed groups near the capital. This event occurred when there was a disagreement at a road checkpoint. Vehicles were set alight.",1,1517243930
370116,434,LBY765,765,2011-11-26,2011,1,Riots/Protests,"Protesters (Libya)",,6,,,0,60,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,"Tripoli International Airport",32.6635,13.159,1,Reuters,International,"A group of 100 protesters gather at Tripoli International Airport to block a Tunisian passenger aircraft from taking off to protest the Libyan transitional government. They said they wanted the Libyan government to open an investigation into a clash last week in which several members of the Souq al-Juma militia were killed.",0,1517243930
370117,434,LBY766,766,2011-11-26,2011,1,Riots/Protests,"Protesters (Libya)",,6,,,0,60,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,Tripoli,32.8925,13.18,1,"The Canadian Press",International,"A group of 60 woman gather outside the office of Prime Minister Abdurrahim el-Keib believing the government is failing to help woman who were sexually assaulted at the hands of Gaddafis forces.",0,1517243930
370118,434,LBY767,767,2011-11-26,2011,1,"Strategic development","Militia (Pro-Government)",,3,"Military Forces of Libya (2011-2012)",,1,13,"Northern Africa",Libya,"Wadi Al Hayat","Wadi al Hayat",,Ubari,26.5921,12.7805,1,"All Africa",Regional,"NLA forces capture one of Gaddafis sons in the far southern desert.",0,1517243930
370119,434,LBY764,764,2011-11-23,2011,1,"Battle-No change of territory","Militia (Pro-Government)",,3,"Military Forces of Libya (2011-2012)",,1,13,"Northern Africa",Libya,Tarhunah-Masallatah,Misratah,,"Bani Walid",31.7566,13.9942,1,"Sydney MX",International,"Libyan troops have clashed with loyalists of Gaddafis regime, leaving seven dead in a desert oasis that was one of the slain dictators last bastions.",7,1517243930
370120,434,LBY763,763,2011-11-20,2011,1,"Strategic development","Militia (Pro-Government)",,3,"Military Forces of Libya (2011-2012)",,1,13,"Northern Africa",Libya,Sabha,Sabha,,Sabha,27.0377,14.4283,3,"Hobart Mercury",International,"Abdullah Senussi, a top Gaddafi lieutenant and spy master, is captured in the south by NLA forces.",0,1517243930
370121,434,LBY762,762,2011-11-19,2011,1,"Strategic development","Militia (Pro-Government)",,3,"Military Forces of Libya (2011-2012)",,1,13,"Northern Africa",Libya,Surt,Surt,,Sirte,31.2089,16.5887,1,"Asian News International",International,"Former Libyan leader Muammar Gaddafis eldest son Saif al-Islam has been captured alive and uninjured.",0,1517243930
370122,434,LBY761,761,2011-11-14,2011,2,"Battle-No change of territory","Zawiya Communal Militia (Libya)",,4,"Wershefana Communal Militia (Libya)",,4,44,"Northern Africa",Libya,"Az Zawiyah","Az Zawiyah",,"Az Zawiyah",32.7571,12.7276,1,"AAP Bulletins",Regional,"Rival militias clash outside Tripoli for the third straight day, 15 dead. Fighters attacked each other with rockets, mortars and machine guns.",15,1517243930
370123,434,LBY760,760,2011-11-11,2011,1,"Battle-No change of territory","Zawiya Communal Militia (Libya)",,4,"Wershefana Communal Militia (Libya)",,4,44,"Northern Africa",Libya,"Az Zawiyah","Az Zawiyah",,"Az Zawiyah",32.7571,12.7276,1,Reuters,International,"At least two are killed fighting between militias, in a sign that either armed groups are vying for power in the absence of a unified army or tribal rivalry. This event occurred at a road checkpoint west of Tripoli.",2,1517243930
370124,434,LBY759,759,2011-10-31,2011,2,"Violence against civilians","Military Forces of Libya (2011-2012)",,1,"Civilians (Libya)",,7,17,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,Tripoli,32.8925,13.18,1,"CNN Wire",International,"Drunken NLA soldiers from the town of Zintan storm a hospital and demanded the staff hand over a fighter wounded earlier in the day. Doctors said the mob wanted to kill the man. Walls near a hospital entrance were riddled with bullets holes, and nearby glass doors and windows were shattered.",0,1517243930
370125,434,LBY758,758,2011-10-29,2011,1,"Battle-No change of territory","Militia (Pro-Government)",,3,"Militia (Pro-Government)",,3,33,"Northern Africa",Libya,Tarhunah-Masallatah,Misratah,,"Bani Walid",31.7566,13.9942,1,"Financial Times",International,"Members of the NLA uncover 200 bodies of executed NLA fighters who were captured by pro-Gaddafi forces during a fight for the city.",200,1517243930
370126,434,LBY757,757,2011-10-27,2011,1,"Violence against civilians","Militia (Pro-Government)",,3,"Civilians (Libya)",,7,37,"Northern Africa",Libya,Surt,Surt,,Sirte,31.2089,16.5887,1,"Philippines News Agency",International,"NLA forces uncover 267 executed bodies buried in Sirte.",267,1517243930
370127,434,LBY756,756,2011-10-24,2011,1,"Violence against civilians","Militia (Pro-Government)",,3,"Civilians (Libya)",,7,37,"Northern Africa",Libya,Surt,Surt,,Sirte,31.2089,16.5887,1,"Irish Examiner",International,"53 bodies, apparently of Gaddafi loyalists, some of whom may have been executed by revolutionary forces, have been discovered in the town of Sirte.",53,1517243930
370128,434,LBY754,754,2011-10-21,2011,1,"Battle-Non-state actor overtakes territory","Militia (Pro-Government)",,3,"Military Forces of Libya (2011-2012)",,1,13,"Northern Africa",Libya,Surt,Surt,,Sirte,31.2089,16.5887,1,Reuters,International,"NLA forces consider Sirte in their control.",0,1517243930
370129,434,LBY755,755,2011-10-21,2011,1,"Strategic development","Militia (Pro-Government)",,3,"Military Forces of Libya (2011-2012)",,1,13,"Northern Africa",Libya,"Al Marqab","Al Marqab",,Zlitan,32.4674,14.5687,1,"Xinhua News",International,"The second son of former Libyan leader Muammar Gaddafi, has been captured in the Libyan city of Zeltin, 160 km east of capital.",0,1517243930
370130,434,LBY753,753,2011-10-20,2011,1,"Battle-No change of territory","Militia (Pro-Government)",,3,"Military Forces of Libya (1969-2011)",,1,13,"Northern Africa",Libya,Surt,Surt,,Sirte,31.2089,16.5887,1,"Worcester News",International,"NLA forces launch an offensive into Gaddafi controlled neighborhoods, Gaddafi himself found hiding in a drainage pipe and shot. Gaddafis fifth eldest son Mutassim was also confirmed killed.",2,1517243930
370131,434,LBY752,752,2011-10-19,2011,1,"Battle-No change of territory","Militia (Pro-Government)",,3,"Military Forces of Libya (1969-2011)",,1,13,"Northern Africa",Libya,Surt,Surt,,Sirte,31.2089,16.5887,1,"Irish Independent",International,"NLA forces launch offensive into several neighborhoods known to have Gaddafi resistance.",0,1517243930
370132,434,LBY751,751,2011-10-17,2011,1,"Battle-Non-state actor overtakes territory","Militia (Pro-Government)",,3,"Military Forces of Libya (1969-2011)",,1,13,"Northern Africa",Libya,Tarhunah-Masallatah,Misratah,,"Bani Walid",31.7566,13.9942,1,"Al Jazeera English/Africa Research Bulletin",Regional-International,"NLA fighters seize control of 90% of of Bani Wadi, a town with stiff pockets of Gaddafi resistance.",0,1517243930
370133,434,LBY749,749,2011-10-14,2011,1,"Battle-No change of territory","Militia (Pro-Government)",,3,"Military Forces of Libya (1969-2011)",,1,13,"Northern Africa",Libya,Surt,Surt,,Sirte,31.2089,16.5887,1,"Agence France Presse",International,"Rebel forces launch an attack on two pro-Gaddafi neighborhoods of Sirte. At least four killed and 46 wounded.",4,1517243930
370134,434,LBY750,750,2011-10-14,2011,1,"Battle-No change of territory","Militia (Pro-Government)",,3,"Military Forces of Libya (1969-2011)",,1,13,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,Tripoli,32.8925,13.18,1,Reuters,International,"Gaddafi and rebel fighters battle in the Abu Salim neighborhood, a center of support for Gaddafi. A ""high possibility"" of causalities, three NLA fighters confirmed KIA.",0,1517243930
370135,434,LBY748,748,2011-10-12,2011,1,"Violence against civilians","Militia (Pro-Government)",,3,"Civilians (Libya)",,7,37,"Northern Africa",Libya,Surt,Surt,,Sirte,31.2089,16.5887,1,Reuters,International,"NLA forces find 25 executed corpses in Sirte.",25,1517243930
370136,434,LBY747,747,2011-10-07,2011,2,"Battle-No change of territory","Militia (Pro-Government)",,3,"Military Forces of Libya (1969-2011)",,1,13,"Northern Africa",Libya,Surt,Surt,,Sirte,31.2089,16.5887,1,Reuters,International,"Eighteen killed and 300 wounded over the course of two days of fighting for control of Sirte. The advancing forces reached within between 500 meters and one kilometer of the center of a nearby university, as Gaddafi loyalists responded with sporadic mortar and small arms fire.",18,1517243930
370137,434,LBY746,746,2011-10-06,2011,1,"Battle-No change of territory","Militia (Pro-Government)",,3,"Military Forces of Libya (1969-2011)",,1,13,"Northern Africa",Libya,Surt,Surt,,Sirte,31.2089,16.5887,1,Reuters,International,"Snipers hiding in a Sirte mosque hold back a rebel advance. Anti-Gaddafi fighters had advanced just over one kilometer into Sirte from the luxury hotel on the Mediterranean shore that had earlier marked the front line.",0,1517243930
370138,434,LBY745,745,2011-10-05,2011,1,"Battle-No change of territory","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Militia (Pro-Government)",,3,38,"Northern Africa",Libya,Tarhunah-Masallatah,Misratah,,"Bani Walid",31.7566,13.9942,1,Reuters,International,"A NATO strike has destroyed one military installation, six command and control nodes and one military staging location.",0,1517243930
370139,434,LBY743,743,2011-10-04,2011,1,"Battle-Non-state actor overtakes territory","Militia (Pro-Government)",,3,"Military Forces of Libya (1969-2011)",,1,13,"Northern Africa",Libya,Surt,Surt,,Sirte,31.2089,16.5887,1,Reuters,International,"Rebel forces capture a district of Sirte. Fighting is street-to-street.",0,1517243930
370140,434,LBY744,744,2011-10-04,2011,1,"Violence against civilians","Militia (Pro-Government)",,3,"Civilians (Libya)",,7,37,"Northern Africa",Libya,Surt,Surt,,Sirte,31.2089,16.5887,1,Reuters,International,"Bullet-ridden cars carrying terrified, ill and hungry civilians crawled out of Gaddafis home town as anti-Gaddafi fighters said they were planning a final attack.",0,1517243930
370141,434,LBY742,742,2011-10-03,2011,1,"Remote violence","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Militia (Pro-Government)",,3,38,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,Tripoli,32.8925,13.18,3,Reuters,International,"NATO forces announce they had 36 air strikes on Monday, though none of the targets were hit.",0,1517243930
370142,434,LBY741,741,2011-10-01,2011,1,"Battle-No change of territory","Berber Ethnic Militia (Libya)",,4,"Seaan Ethnic Militia (Libya)",,4,44,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,Tripoli,32.8925,13.18,1,"CNN Wire",International,"Two tribal groups clash in Tripoli, killing a family of three. This comes despite their allied effort to overturn the Gaddafi regime.",3,1517243930
